Datum,Isolation,Quarantäne
2021-05-16,n. d.,n. d.
2021-05-17,n. d.,n. d.
2021-05-18,n. d.,n. d.
2021-05-19,n. d.,n. d.
2021-05-20,n. d.,n. d.
2021-05-21,n. d.,n. d.
2021-05-22,n. d.,n. d.
2021-05-23,n. d.,n. d.
2021-05-24,n. d.,n. d.
2021-05-25,n. d.,n. d.
2021-05-26,n. d.,n. d.
2021-05-27,n. d.,n. d.
2021-05-28,n. d.,n. d.
2021-05-29,n. d.,n. d.
2021-05-30,n. d.,n. d.
2021-05-31,n. d.,n. d.
2021-06-01,315,470
2021-06-02,313,424
2021-06-03,301,406
2021-06-04,260,339
2021-06-05,260,339
2021-06-06,260,339
2021-06-07,218,231
2021-06-08,217,230
2021-06-09,209,260
2021-06-10,191,220
2021-06-11,186,217
2021-06-12,186,217
2021-06-13,186,217
2021-06-14,149,219
2021-06-15,125,248
2021-06-16,120,248
2021-06-17,110,234
2021-06-18,100,220
2021-06-19,100,220
2021-06-20,100,220
2021-06-21,69,135
2021-06-22,69,100
2021-06-23,66,91
2021-06-24,65,89
2021-06-25,60,88
2021-06-26,60,88
2021-06-27,60,88
2021-06-28,44,76
2021-06-29,48,77
2021-06-30,51,76
2021-07-01,49,73
2021-07-02,49,73
2021-07-03,49,73
2021-07-04,49,73
2021-07-05,61,68
2021-07-06,75,89
2021-07-07,89,121
2021-07-08,103,131
2021-07-09,107,151
2021-07-10,107,151
2021-07-11,107,151
2021-07-12,126,185
2021-07-13,155,195
2021-07-14,155,187
2021-07-15,167,196
2021-07-16,160,204
2021-07-17,160,204
2021-07-18,160,204
2021-07-19,161,213
2021-07-20,189,235
2021-07-21,210,280
2021-07-22,237,284
2021-07-23,235,293
2021-07-24,235,293
2021-07-25,235,293
2021-07-26,249,292
2021-07-27,263,284
2021-07-28,289,337
2021-07-29,303,387
2021-07-30,317,438
2021-07-31,317,438
2021-08-01,317,438
2021-08-02,358,420
2021-08-03,442,517
2021-08-04,478,617
2021-08-05,521,585
2021-08-06,553,638
2021-08-07,553,638
2021-08-08,553,638
2021-08-09,697,779
